interval_start,date,slot,plan_kwh,load_kwh,pv_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,soc_start_kwh,soc_end_kwh,price,forecast_load_kwh,forecast_pv_kwh,reserve_kwh
2025-03-20 00:00:00,2025-03-20,0,1451.3596124571386,549.8448166666667,0.0,833.3333333333331,0.0,0.0,68.18146245713865,6617.0463795200885,7367.046379520088,0.4248,598.5202285529298,0.0,19.50605057087541
2025-03-20 00:10:00,2025-03-20,1,1442.6370904388768,570.3135,0.0,833.3333333333331,0.0,0.0,38.990257105543606,7367.046379520088,8117.046379520088,0.4244999999999999,590.5416794614396,0.0,18.762077644103897
2025-03-20 00:20:00,2025-03-20,2,1429.5459862427492,613.8516666666667,0.0,815.6943195760825,0.0,0.0,0.0,8117.046379520088,8851.171267138563,0.4269,577.3591389430388,0.0,18.853513966377168
2025-03-20 00:30:00,2025-03-20,3,1087.867461410622,579.4561666666666,0.0,508.4112947439555,0.0,0.0,0.0,8851.171267138563,9308.741432408126,0.4272,587.906340341231,0.0,18.901542758378383
2025-03-20 00:40:00,2025-03-20,4,1437.2794831899057,550.4449166666666,0.0,833.3333333333331,0.0,0.0,53.50123318990563,9308.741432408126,10058.741432408124,0.4270999999999999,585.1001203252171,0.0,18.84602953135524
2025-03-20 00:50:00,2025-03-20,5,580.8991944141372,571.1566666666665,0.0,9.742527747470605,0.0,0.0,0.0,10058.741432408124,10067.509707380848,0.4284999999999999,563.8304716394655,0.0,17.068722774671755
2025-03-20 01:00:00,2025-03-20,6,571.403308164424,601.5890499999999,0.0,0.0,30.185741835575985,0.0,0.0,10067.509707380848,10033.969994230209,0.4310999999999999,556.5413961378335,0.0,14.861912026590405
2025-03-20 01:10:00,2025-03-20,7,566.870941295251,611.48375,0.0,0.0,44.612808704749,0.0,0.0,10033.969994230209,9984.400206780483,0.4302,550.8076084407504,0.0,16.063332854500516
2025-03-20 01:20:00,2025-03-20,8,563.2385025002035,598.2166666666667,0.0,0.0,34.978164166463216,0.0,0.0,9984.400206780483,9945.53557992886,0.4279,544.5862168938446,0.0,18.652285606358877
2025-03-20 01:30:00,2025-03-20,9,575.5330554527436,583.9359499999999,0.0,0.0,8.402894547256324,0.0,0.0,9945.53557992886,9936.19903043191,0.4312,556.0819629882095,0.0,19.45109246453416
