date,strategy,soc_start_kwh,soc_end_kwh,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,original_plan_kwh,increase_kwh,decrease_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_intervals
2025-02-01,q4_3_ridge,9902.8112878703687,6492.8201074858252,37942.58988789381,16655.955946851005,16560.3163792954,0,3468.7743870048757,40201.888424876102,0,2259.2985369822891,17487.114952394091,0,-595.27611538235601,0,16891.838837011735,0
2025-02-02,q4_3_ridge,6492.8201074858252,6705.9630868636432,87397.337278476974,22228.112428878041,17812.942385951177,0,4625.8892855501108,90195.821545907762,114.01562569360169,2912.4998931243849,63147.117176519248,172.39693999799147,-1192.7016394389711,0,62126.812477078267,0
2025-02-03,q4_3_ridge,6705.9630868636432,6517.4018087351205,87504.094681427232,21741.089369155008,17779.987539331232,0,3326.0763516034658,91724.567666946095,101.72767893221027,4322.2006644510684,65794.206546890127,196.25067532356584,-1758.6122460218855,0,64231.844976191802,0
2025-02-04,q4_3_ridge,6517.4018087351205,6744.9282596985158,89403.126266938896,23498.472146871987,18828.988633099252,0,3538.7788031661712,94720.86912406073,103.1999713715814,5420.9428284934038,68241.031736295699,197.95818508496743,-2326.4564291247098,0,66112.533492255956,0
2025-02-05,q4_3_ridge,6744.9282596985158,5960.2615167783588,83281.396195310968,22331.776820098639,18794.939292908042,1162.195266417089,158.32695120413018,82694.378261942111,724.40808293948089,137.39014957062273,58279.615048743464,1144.369109163848,-56.480085096886,6617.5618778555527,65985.065950665987,10
2025-02-06,q4_3_ridge,5960.2615167783588,5793.0122335428177,85213.563132336407,23953.127841137801,19552.557906233615,210.99741787715442,752.93339864271616,90761.08957128381,1114.5706931441209,6662.0971320915251,64538.804469756753,2025.6855430311609,-2874.3860875843661,1123.7338194214178,64813.837744624958,7
2025-02-07,q4_3_ridge,5793.0122335428177,5557.1066661637369,38353.118446862318,20608.452422754512,16905.161473072323,854.26100952306547,3698.4088400365304,39839.202980248519,31.253004055682368,1517.3375374418802,16451.56498370531,39.716317553961154,-405.93735652157625,3710.5780918364626,19795.922036574157,7
2025-02-08,q4_3_ridge,5557.1066661637369,5627.5419714285954,34258.72013742564,19689.730778566256,15885.290155900293,2111.7655685736545,988.88236666666683,32971.952965510638,1286.7671719150055,0,13064.718092985129,1479.4583004221688,0,9802.8510250881063,24347.027418495403,12
2025-02-09,q4_3_ridge,5627.5419714285954,5685.7948430931037,83762.913711052155,24303.974283374882,19633.791585035593,901.88994654372357,439.20499258992356,81947.950031933331,1827.7521832854864,12.788504166666712,56614.450545027372,2786.5341353788335,-4.2131726977083481,5235.9886510606848,64632.760158769182,10
2025-02-10,q4_3_ridge,5685.7948430931037,5562.8561024816709,78095.013492303668,21475.419358486412,17505.734546924279,676.79131193815647,475.48240934637533,79049.007527792593,634.09573816410887,1588.0897736530264,53327.325368345628,1167.1548505713413,-607.95022210251955,3854.9232126552511,57741.453209469692,10
2025-02-11,q4_3_ridge,5562.8561024816709,5805.2883488728003,77421.126732073666,22662.335353050174,18138.302614218628,2382.0833321074065,58.580192016187766,79366.661039834536,1420.1813258847724,3365.7156336456501,53701.638392982393,2642.0455030267567,-1460.6051429608917,13652.266345909326,68535.345098957579,19
2025-02-12,q4_3_ridge,5805.2883488728003,5905.8249082466564,80127.024529156566,22805.403120790161,18381.893624403565,371.13017819155743,807.90907762819893,81796.444928054378,1201.4522547690933,2870.8726536668973,55515.245421510321,2248.2037952043552,-1131.0722904350623,2051.7508972898822,58684.127823569499,10
2025-02-13,q4_3_ridge,5905.8249082466564,5990.2390047452664,76904.678283091373,22786.297773531071,18380.928509711426,313.3471829004007,1483.1771855054462,76699.76337702063,654.31029483583279,449.39538876510971,50731.879666916459,933.63215568888916,-133.39098046987505,1886.4782856187278,53418.599127754205,7
2025-02-14,q4_3_ridge,5990.2390047452664,5628.982284048644,35059.465700993285,20851.218894461625,17214.618353140875,881.36436871816454,2502.4277117240304,34119.014544611338,940.4511563819442,0,13817.733025946511,1002.0572813648795,0,4125.3795426454817,18945.169849956874,12
2025-02-15,q4_3_ridge,5628.982284048644,5630.4490158381304,34454.512129786381,20015.107732216078,16210.917204484489,1388.2265379094565,2758.4570399642521,34614.263839668711,227.29785662318264,387.04956650551338,14710.157883227657,284.38371331409496,-129.35683642066539,5530.9945144205722,20396.179274541661,11
2025-02-16,q4_3_ridge,5630.4490158381304,5976.9829827863523,80155.243371387303,21529.069233729253,17126.665509067298,146.6823159463971,522.14286267175919,83051.242188489414,1647.2114684076485,4543.2102855097492,56681.699409364177,3190.1134964676958,-1854.2628010441272,860.15999945046644,58877.710104238213,4
2025-02-17,q4_3_ridge,5976.9829827863523,5886.7982830148039,76847.633805607882,20339.36826804177,16556.054526908225,288.62019592924202,2169.0770937369116,82772.484312857399,1144.5107808019131,7069.3612880514338,55759.920724913944,2244.0105438599498,-2456.4079084284936,1805.4868444362728,57353.010204781669,6
2025-02-18,q4_3_ridge,5886.7982830148039,6048.1128663915342,76338.081282514846,21230.793906841245,17051.759939502357,65.17850827644213,132.83804011906363,73571.823187106376,2766.2580954084738,0,48371.157169607221,4208.7437199706956,0,405.60389510302764,52985.504784680947,3
2025-02-19,q4_3_ridge,6048.1128663915342,5862.0574718930329,77090.08286888474,22845.302236593128,18672.144666689084,164.28175820375984,201.87967385112404,74780.543905836341,2309.5389630483996,0,49649.549838383631,2764.3698203851254,0,739.20800014065026,53153.127658909412,10
2025-02-20,q4_3_ridge,5862.0574718930329,6189.8550870255185,76947.553364085048,21722.369530141346,17300.101465795255,44.749493398165896,1576.9010598037985,78305.896098753059,562.8043658699537,1921.1471005379656,52016.711742745203,950.33668417556783,-639.2886008087255,251.06703271040976,52578.826858822446,1
2025-02-21,q4_3_ridge,6189.8550870255185,5689.6204453169539,34078.567685382193,20866.394710652559,17351.990893166279,290.1676644936806,5294.0694990562652,33858.3666209855,220.20106439669519,0,14038.533563073417,233.60067660222433,0,1354.0096091572641,15626.143848832904,5
2025-02-22,q4_3_ridge,5689.6204453169539,6069.2292815850969,35200.755989487501,20543.447557856591,16298.544569222511,312.88305088374432,3423.973168403837,35153.538910281422,267.61756897614077,220.4004897700612,14742.266464020255,380.12424356724114,-58.770608465283161,1517.4542210168665,16581.07432013908,4
2025-02-23,q4_3_ridge,6069.2292815850969,6165.026945002206,75781.935597592266,22728.340714411694,18323.738081598072,470.08271450640984,315.56199595172598,77728.833165136079,801.92485381204256,2748.8224213558583,51198.073258620221,1512.2612312190886,-1056.0740784315392,2512.8091794949919,54167.069590902764,6
2025-02-24,q4_3_ridge,6165.026945002206,6168.1489223013023,72799.606910375966,21509.866573059211,17420.182144608774,26.681825811761428,533.57069107063137,74065.644900384228,300.44664834900652,1566.4846383572658,49448.712648466302,575.86609089054082,-693.41123849559676,136.33078898519503,49467.498289846444,1
2025-02-25,q4_3_ridge,6168.1489223013023,5995.5855323585147,72283.91882861148,20520.4857210437,16776.900484993908,77.965580760780924,2796.9759399891454,76614.282362811064,398.73702135775505,4729.1005555573338,49611.7983914777,759.96392782927421,-1339.9122266107975,315.51011500344555,49347.360207699625,5
2025-02-26,q4_3_ridge,5995.5855323585147,6528.1380351003281,74856.132392653672,24715.008250939769,19539.859430793585,11.225448775833797,877.36098794999452,71290.986980437039,3565.1454122166401,0,45993.373853366822,4112.3896118024695,0,56.710316809439419,50162.473781978733,2
2025-02-27,q4_3_ridge,6528.1380351003281,6222.1791981350125,72223.136914679941,22606.743991339448,18586.825586253733,16.702291071779655,1263.3366006660062,70916.260985248315,1431.9573897757714,125.0814603441496,45138.690659641361,1986.1078606770729,-27.355444553289107,81.5238827213565,47178.966958486504,1
2025-02-28,q4_3_ridge,6222.1791981350125,5969.9730947316393,32812.192484109095,18972.691481215021,15594.865592847205,589.97542219504567,6731.7484679363251,32929.753474127319,0,117.56099001822662,13397.325829227311,0,-46.18831203739478,2289.9934022762145,15641.130919466132,8
