date,strategy,soc_start_kwh,soc_end_kwh,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,original_plan_kwh,increase_kwh,decrease_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_intervals
2025-02-01,q2_lp_control,9902.8112878703687,7110.9734890683812,42195.525208830652,15136.336126696529,14773.08628154598,0,7454.0994303467724,42195.525208830652,0,0,22372.694293931898,0,0,0,22372.694293931898,0
2025-02-02,q2_lp_control,7110.9734890683812,7219.4189646923542,92802.1927747523,21323.629790823361,17174.539202505348,0,10296.824236434295,92802.1927747523,0,0,59004.704734642233,0,0,0,59004.704734642233,0
2025-02-03,q2_lp_control,7219.4189646923542,6905.6733201490597,89968.903965144069,21802.639771297167,17942.50929483967,0,5891.8569886865844,89968.903965144069,0,0,56981.892754652887,0,0,0,56981.892754652887,0
2025-02-04,q2_lp_control,6905.6733201490597,7111.1036245427522,90170.811330044293,23957.71438962844,19220.86138164471,0,4239.094372060581,90170.811330044293,0,0,56883.057424927938,0,0,0,56883.057424927938,0
2025-02-05,q2_lp_control,7111.1036245427522,6032.5115102216332,83293.510290129372,22928.858964624291,19543.108664234693,1158.66381064197,317.99681704841657,83293.510290129372,0,0,51968.241640508735,0,0,7137.8758728029243,59106.117513311663,9
2025-02-06,q2_lp_control,6032.5115102216332,6032.7899717253395,86532.557386198925,23848.994908354176,19317.435260413553,56.458860649377584,1786.3993822410155,86532.557386198925,0,0,54194.605700556654,0,0,326.73357686501828,54521.339277421677,3
2025-02-07,q2_lp_control,6032.7899717253395,5743.4185466334202,39409.139078367662,20119.938337615386,16557.584336051197,438.14701727820119,4479.2524274150028,39409.139078367662,0,0,20204.81822237443,0,0,2123.799970008532,22328.618192382964,5
2025-02-08,q2_lp_control,5743.4185466334202,5834.6636972736142,35113.066422530304,19285.399818077465,15539.053217066576,1248.5191446353076,1038.0762494880573,35113.066422530304,0,0,17938.875806781674,0,0,6916.4451515477431,24855.320958329416,8
2025-02-09,q2_lp_control,5834.6636972736142,5892.1406608996349,81944.805559929402,23444.376450615026,18938.215657734749,2231.6748775977308,114.90367798019827,81944.805559929402,0,0,50735.293194258447,0,0,13684.615680515561,64419.908874774002,15
2025-02-10,q2_lp_control,5892.1406608996349,5720.5783408028901,82435.011881770479,22034.075369050413,18002.007137017903,304.89288785885913,4381.1989542635019,82435.011881770479,0,0,51239.100841406427,0,0,1735.4988481368368,52974.599689543269,9
2025-02-11,q2_lp_control,5720.5783408028901,5946.9710847387478,80845.50711831497,23507.728585091096,18837.506684381518,635.88972230925776,1590.5778065813088,80845.50711831497,0,0,49893.924750600861,0,0,3990.9470237232513,53884.871774324114,8
2025-02-12,q2_lp_control,5946.9710847387478,6043.1064887402745,82350.269986716754,22688.772934622586,18291.384213442921,332.59807749399494,3018.7432096977523,82350.269986716754,0,0,51114.413426938467,0,0,2155.7677646335728,53270.181191572046,6
2025-02-13,q2_lp_control,6043.1064887402745,6172.2444758282545,81688.994400051306,20755.224229321124,16695.507437370929,35.845208563516373,6335.6437999979598,81688.994400051306,0,0,50758.564366455459,0,0,191.8231430308372,50950.387509486296,2
2025-02-14,q2_lp_control,6172.2444758282545,5831.4205745822355,34747.063132439405,18298.810057959297,15128.777658068449,576.25883086132569,2351.4877467432198,34747.063132439405,0,0,18120.687669504634,0,0,3145.7460020380177,21266.433671542651,6
2025-02-15,q2_lp_control,5831.4205745822355,5811.6115811164555,35370.743539783674,18637.174342386061,15113.939311451915,211.23606074005403,2778.6534695895816,35370.743539783674,0,0,18332.665486205384,0,0,1011.4979971845863,19344.16348338997,8
2025-02-16,q2_lp_control,5811.6115811164555,6190.8572316551363,79825.960038764184,23647.636623716477,18813.264579725528,998.63438710901846,612.84328188226641,79825.960038764184,0,0,49192.715174555466,0,0,5737.8075358616024,54930.522710417077,8
2025-02-17,q2_lp_control,6190.8572316551363,6085.9795808510898,78635.563669192255,21840.777534501442,17785.419688669812,60.289087938268267,3456.6317446322314,78635.563669192255,0,0,48368.233094228533,0,0,387.10683387005781,48755.33992809859,2
2025-02-18,q2_lp_control,6085.9795808510898,6292.2826240033328,78409.269295741629,22993.224390554948,18438.839017512488,41.956764136930701,1805.4529035027704,78409.269295741629,0,0,48198.566630018831,0,0,191.92468655071673,48390.491316569547,2
2025-02-19,q2_lp_control,6292.2826240033328,6001.2573706225749,78524.008979609862,23581.053910934617,19362.57639589972,465.59460781566463,1891.798689057297,78524.008979609862,0,0,48368.840004339705,0,0,2431.6604081057908,50800.500412445494,8
2025-02-20,q2_lp_control,6001.2573706225749,6587.4699339252729,78775.447181272772,23086.390119822456,18172.384690083756,39.417515381135786,2907.7255335818754,78775.447181272772,0,0,48408.68133215791,0,0,184.63164204524003,48593.31297420316,1
2025-02-21,q2_lp_control,6587.4699339252729,6223.6302145543714,34338.080498097494,17690.949940583254,14657.125199306249,27.788040696459028,5771.7817641836145,34338.080498097494,0,0,17990.95097649395,0,0,152.12257443520255,18143.073550929155,2
2025-02-22,q2_lp_control,6223.6302145543714,6484.1822871389104,35107.297885339562,17894.311381939318,14259.89535404476,0,3628.1189741116714,35107.297885339562,0,0,18303.913496681747,0,0,0,18303.913496681747,0
2025-02-23,q2_lp_control,6484.1822871389104,6549.5974469435296,77820.756020983899,22950.383002056878,18530.936587841912,0,1869.4559234355979,77820.756020983899,0,0,47930.068385101717,0,0,0,47930.068385101717,0
2025-02-24,q2_lp_control,6549.5974469435296,6276.4291142859756,75927.072350985167,21494.526083813515,17656.417627280745,57.777564696927584,3943.7078424826614,75927.072350985167,0,0,46606.69412055763,0,0,262.64101929040879,46869.335139848044,2
2025-02-25,q2_lp_control,6276.4291142859756,6364.7513887768519,76328.023791309912,20935.380660646559,16878.168288081924,44.234877308513092,6493.723062720469,76328.023791309912,0,0,46783.953028390046,0,0,195.44357713964249,46979.396605529691,3
2025-02-26,q2_lp_control,6364.7513887768519,6498.7419738543249,75843.10194147256,21967.707780517463,17673.251775649413,111.57901345743392,2845.3769167286059,75843.10194147256,0,0,46521.983166279286,0,0,778.37519787905899,47300.358364158354,1
2025-02-27,q2_lp_control,6498.7419738543249,6591.2812059006101,74654.273732339294,23055.703211711014,18591.834292644271,535.38899599539934,3769.2096092679512,74654.273732339294,0,0,45700.873011750758,0,0,2598.9733959593264,48299.846407710087,5
2025-02-28,q2_lp_control,6591.2812059006101,6298.360118832994,33569.795865466411,17129.5915174658,14138.598107508162,0,7286.2089055087781,33569.795865466411,0,0,17467.5311051385,0,0,0,17467.5311051385,0
2025-03-01,q2_lp_control,6298.360118832994,6628.8377737861401,34523.083532551573,16649.258628236952,13188.4695994141,0,7403.5285703953887,34523.083532551573,0,0,17956.483819848727,0,0,0,17956.483819848727,0
2025-03-02,q2_lp_control,6628.8377737861401,6117.7117196696854,73509.797507554147,19726.5953787775,16438.555705514591,3930.3626155524071,1793.8133831769978,73509.797507554147,0,0,44989.542682412837,0,0,26567.000679669152,71556.543362081997,8
2025-03-03,q2_lp_control,6117.7117196696854,6105.4841730917424,74010.120794896167,21969.027273128682,17805.916883154387,3278.7509661121694,1108.6147377007105,74010.120794896167,0,0,45253.116176553391,0,0,19972.067401214947,65225.183577768345,15
2025-03-04,q2_lp_control,6105.4841730917424,6491.0414812940553,76386.611037668772,23183.676435317633,18431.776335225197,0,2435.2530042430149,76386.611037668772,0,0,46763.831464680799,0,0,0,46763.831464680799,0
2025-03-05,q2_lp_control,6491.0414812940553,6452.5920651525566,79121.788900296408,19536.967688147884,15859.548301927134,0,9313.8974974089997,79121.788900296408,0,0,48794.072106510925,0,0,0,48794.072106510925,0
2025-03-06,q2_lp_control,6452.5920651525566,6509.9746053271365,76712.609099882771,19991.316437789188,16141.322028452119,0,6921.9605572123683,76712.609099882771,0,0,47288.735334293371,0,0,0,47288.735334293371,0
2025-03-07,q2_lp_control,6509.9746053271365,6447.1135647620349,32899.645660846116,15411.715110846404,12540.06417629418,0,9105.7091929605576,32899.645660846116,0,0,17231.332414862794,0,0,0,17231.332414862794,0
2025-03-08,q2_lp_control,6447.1135647620349,6439.6930140747199,31723.948197161164,16310.635637576446,13218.293362055509,0,9568.4664049735584,31723.948197161164,0,0,16736.92757361602,0,0,0,16736.92757361602,0
2025-03-09,q2_lp_control,6439.6930140747199,6621.5024777075441,74877.398402824634,21172.039451942572,16985.723438803943,0,7357.5573396860091,74877.398402824634,0,0,45914.182994070979,0,0,0,45914.182994070979,0
2025-03-10,q2_lp_control,6621.5024777075441,6320.2913114524281,71460.531837890099,21374.787593421701,17584.668000301186,480.39685505435557,108.73764982392549,71460.531837890099,0,0,43735.239641776527,0,0,3340.050337027109,47075.28997880363,3
2025-03-11,q2_lp_control,6320.2913114524281,6556.7658673716205,73115.613150122459,20584.462828086926,16460.587790423138,0,5052.819312458676,73115.613150122459,0,0,44390.914979497378,0,0,0,44390.914979497378,0
2025-03-12,q2_lp_control,6556.7658673716205,6258.2007380723771,71187.432232090447,20579.754618896382,16938.309857675391,0,5110.4527875361246,71187.432232090447,0,0,43264.468747400948,0,0,0,43264.468747400948,0
