date,strategy,soc_start_kwh,soc_end_kwh,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,original_plan_kwh,increase_kwh,decrease_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_intervals
2025-02-01,q4_2_gru_mean,9902.8112878703687,2513.0508828665261,37314.579481966255,12248.640315784618,16572.183020289001,0,7259.9462531373001,37314.579481966255,0,0,16594.839996366085,0,0,0,16594.839996366085,0
2025-02-02,q4_2_gru_mean,2513.0508828665261,2765.6062059649316,92548.960882479529,21361.439600020476,17075.466285228016,0,9906.7096176870764,92548.960882479529,0,0,65539.020781923289,0,0,0,65539.020781923289,0
2025-02-03,q4_2_gru_mean,2765.6062059649316,2369.609903650919,89414.34388829433,20946.35299737567,17322.942599956899,0,5574.0169908755779,89414.34388829433,0,0,64200.795759313944,0,0,0,64200.795759313944,0
2025-02-04,q4_2_gru_mean,2369.609903650919,2501.6107846629943,89932.306593043701,24138.448554088922,19433.342535901164,0,4032.3366248559446,89932.306593043701,0,0,64116.146326437498,0,0,0,64116.146326437498,0
2025-02-05,q4_2_gru_mean,2501.6107846629943,1317.914620684425,83081.835667773557,22787.899814067649,19523.525396975507,1236.7003564549836,305.7346238030716,83081.835667773557,0,0,58732.861757914878,0,0,6835.9485081228049,65568.810266037675,9
2025-02-06,q4_2_gru_mean,1317.914620684425,1289.2605136849434,86502.126483289627,24254.070717986204,19671.585977868359,99.783461097711211,1748.3679876028348,86502.126483289627,0,0,61208.364518713744,0,0,478.80586726366329,61687.170385977406,4
2025-02-07,q4_2_gru_mean,1289.2605136849434,1200,39346.394031745876,20026.787506093573,16302.032342252245,680.23451476867604,4496.1937160065563,39346.394031745876,0,0,16432.935998156274,0,0,2253.267569744894,18686.203567901168,13
2025-02-08,q4_2_gru_mean,1200,1200,35095.770027292689,20196.456538763112,16359.129796398123,1351.1799625322244,1032.4605307932561,35095.770027292689,0,0,14418.995387413359,0,0,5954.3595614463229,20373.354948859684,10
2025-02-09,q4_2_gru_mean,1200,1209.5646817746283,81476.065039014327,21698.906159568898,17567.505775653652,2280.0953646348867,69.344053067305936,81476.065039014327,0,0,56621.900018171138,0,0,13648.223912951609,70270.123931122755,24
2025-02-10,q4_2_gru_mean,1209.5646817746283,1200,81965.735042550048,20308.613461050631,16458.585117048169,555.27363818739786,4344.3427534016691,81965.735042550048,0,0,55744.126949877704,0,0,2164.1762674409588,57908.303217318666,16
2025-02-11,q4_2_gru_mean,1200,1258.6525646872838,80415.066909657588,22723.186961589166,18352.994130668671,644.50771262861019,1468.784658032361,80415.066909657588,0,0,54750.204771277837,0,0,3929.9533335605493,58680.158104838381,9
2025-02-12,q4_2_gru_mean,1258.6525646872838,1329.5956723216698,82176.723342524288,22762.905177481429,18374.104396889012,129.93583741658946,2651.1222660151379,82176.723342524288,0,0,55590.687872625938,0,0,715.88337479113602,56306.571247417072,6
2025-02-13,q4_2_gru_mean,1329.5956723216698,1532.4339087299986,81740.596857871045,21430.47906371516,17176.133628841788,0,6156.772406331007,81740.596857871045,0,0,55056.751889466846,0,0,0,55056.751889466846,0
2025-02-14,q4_2_gru_mean,1532.4339087299986,1200,34727.408206993023,18925.782539157211,15629.074374574342,731.76335804418954,2360.6615837876816,34727.408206993023,0,0,14545.276442077226,0,0,3123.8719718401026,17669.148413917326,11
2025-02-15,q4_2_gru_mean,1200,1200,35622.703282630639,20684.853513960752,16754.73134630821,399.12574589482489,2811.6157608729281,35622.703282630639,0,0,15250.754532454044,0,0,1211.465004506369,16462.219536960416,9
2025-02-16,q4_2_gru_mean,1200,1451.6965885541081,79616.639573338034,23272.0393431173,18623.824938226317,948.44311456044591,539.48918300749972,79616.639573338034,0,0,53686.66811023702,0,0,5631.7498340510847,59318.417944288107,7
2025-02-17,q4_2_gru_mean,1451.6965885541081,1362.294429037916,78396.868152213865,20982.774239919916,17076.509077899707,58.836164965246553,3365.575988492234,78396.868152213865,0,0,52695.589201260707,0,0,366.47678006530566,53062.065981326014,2
2025-02-18,q4_2_gru_mean,1362.294429037916,1609.6873612113268,78161.390760939859,22189.37692950897,17750.741673946191,7.7500974702639951,1639.1178195140262,78161.390760939859,0,0,51792.708729154088,0,0,39.49449670846532,51832.203225862555,1
2025-02-19,q4_2_gru_mean,1609.6873612113268,1260.7464015005769,78235.225938267642,22614.632304054783,18631.89903002404,462.02758789403538,1835.1928687976081,78235.225938267642,0,0,51912.197090396723,0,0,2406.1079244140096,54318.305014810729,10
2025-02-20,q4_2_gru_mean,1260.7464015005769,1912.4907282462691,78709.348258074984,23186.225825423877,18194.273024522212,39.417515381135786,2763.6792392211282,78709.348258074984,0,0,52691.150237505251,0,0,221.15197004586233,52912.302207551111,1
2025-02-21,q4_2_gru_mean,1912.4907282462691,1440.9882852809203,34515.835171074163,19157.672193781575,15942.066675631888,11.319313036292712,5751.2869326274395,34515.835171074163,0,0,14744.451804730259,0,0,51.390760858861604,14795.842565589121,2
2025-02-22,q4_2_gru_mean,1440.9882852809203,1806.4065273065503,35246.344473421173,18829.871954384143,14923.319865228086,0,3495.0295009317861,35246.344473421173,0,0,15154.846531041114,0,0,0,15154.846531041114,0
2025-02-23,q4_2_gru_mean,1806.4065273065503,1948.3139122582745,77684.951309686527,22972.600928175685,18480.090105365751,0,1660.5868035432495,77684.951309686527,0,0,51793.334773040682,0,0,0,51793.334773040682,0
2025-02-24,q4_2_gru_mean,1948.3139122582745,1553.253418454352,75547.942945079907,20799.373760103743,17203.047190107558,57.777564696927584,3806.3603231139823,75547.942945079907,0,0,49997.995101902678,0,0,294.58581681895146,50292.580918721629,2
2025-02-25,q4_2_gru_mean,1553.253418454352,1691.8785005721575,76149.440914599254,20554.994325125997,16524.782829446027,30.949265624461759,6328.8554512104183,76149.440914599254,0,0,49473.37189892216,0,0,158.83163118473774,49632.203530106897,1
2025-02-26,q4_2_gru_mean,1691.8785005721575,1917.34773646544,75543.516261699988,21274.866777824234,17029.719777733677,118.89425439650938,2602.4154826726044,75543.516261699988,0,0,49780.191160611554,0,0,766.8084937302873,50546.999654341838,1
2025-02-27,q4_2_gru_mean,1917.34773646544,2027.5570939557153,74570.860450808395,23673.046984332133,19075.979635567783,559.24767175799298,3576.4565738020542,74570.860450808395,0,0,47756.521836220127,0,0,2956.875864398196,50713.39770061832,4
2025-02-28,q4_2_gru_mean,2027.5570939557153,1605.4668581649944,33465.600434294072,17747.845737817806,14755.636259844079,0,7180.7974063203492,33465.600434294072,0,0,14002.55332013549,0,0,0,14002.55332013549,0
2025-03-01,q4_2_gru_mean,1605.4668581649944,1945.4872098514475,34720.742711071573,18133.495957949523,14382.113409421301,0,7310.5942292100199,34720.742711071573,0,0,14356.232335638992,0,0,0,14356.232335638992,0
2025-03-02,q4_2_gru_mean,1945.4872098514475,1550.0284900390523,73231.564498932916,19172.366854446409,15885.529999932753,3970.0804625689098,1556.5010403214974,73231.564498932916,0,0,47873.358287057825,0,0,25151.189224180955,73024.547511238779,8
2025-03-03,q4_2_gru_mean,1550.0284900390523,1405.8886863252587,73959.630137004089,22655.599612895643,18480.761509787892,3256.9461959543023,1024.591596517314,73959.630137004089,0,0,48044.757254239747,0,0,19773.539661469105,67818.296915708852,15
2025-03-04,q4_2_gru_mean,1405.8886863252587,1898.381277169532,76102.173679895786,22679.603465914457,17927.235475630863,0,2150.3477562788489,76102.173679895786,0,0,49536.528528534778,0,0,0,49536.528528534778,0
2025-03-05,q4_2_gru_mean,1898.381277169532,1979.866973517039,79092.02963615465,20925.520362252788,16876.334366712006,0,8912.3716239472087,79092.02963615465,0,0,50811.516776035613,0,0,0,50811.516776035613,0
2025-03-06,q4_2_gru_mean,1979.866973517039,1794.8056663617349,76369.32904935797,20176.39910053623,16509.438447874119,0,6761.7142633625326,76369.32904935797,0,0,49425.241241421507,0,0,0,49425.241241421507,0
2025-03-07,q4_2_gru_mean,1794.8056663617349,1685.1049757166429,32963.722259696558,16189.773726395817,13212.447339961196,0,9064.1103399286058,32963.722259696558,0,0,13699.504484705867,0,0,0,13699.504484705867,0
2025-03-08,q4_2_gru_mean,1685.1049757166429,1745.8936516558033,31735.557822289004,16616.065633551989,13404.303354831873,0,9460.6560269022211,31735.557822289004,0,0,13261.889158783983,0,0,0,13261.889158783983,0
2025-03-09,q4_2_gru_mean,1745.8936516558033,2119.6681555857936,74907.64462970692,21922.369242697379,17420.722033047892,0,7072.4723700574332,74907.64462970692,0,0,47441.896987235516,0,0,0,47441.896987235516,0
2025-03-10,q4_2_gru_mean,2119.6681555857936,1540.976745490434,71117.969029762244,20992.910860635238,17525.080066200364,483.90496768271942,91.971753010099178,71117.969029762244,0,0,46506.531585030294,0,0,3111.9928471675685,49618.524432197861,1
2025-03-11,q4_2_gru_mean,1540.976745490434,1980.9716499164235,73354.230787999652,22145.959896609918,17542.232102270646,0,4811.584193660382,73354.230787999652,0,0,46625.389058803601,0,0,0,46625.389058803601,0
2025-03-12,q4_2_gru_mean,1980.9716499164235,1448.1789620746104,70938.314695929555,20308.831504649715,16929.666937823902,0,5123.6154457704088,70938.314695929555,0,0,44573.581827058719,0,0,0,44573.581827058719,0
2025-03-13,q4_2_gru_mean,1448.1789620746104,1625.742233131142,69968.865372793589,21523.260066604274,17274.033709998577,2348.7530206624333,522.77402018366058,69968.865372793589,0,0,44708.841972050206,0,0,14068.907593404427,58777.749565454636,10
2025-03-14,q4_2_gru_mean,1625.742233131142,1602.1402425940239,30224.618860478538,16238.303329996139,13174.267488780279,210.37670765611389,11341.533743585465,30224.618860478538,0,0,12542.549899705626,0,0,639.89556194840998,13182.445461654035,3
2025-03-15,q4_2_gru_mean,1602.1402425940239,1200,30354.732840352557,15736.688697937901,13108.64406366432,388.72227697904827,7191.2853330580219,30354.732840352557,0,0,12588.276138722747,0,0,1249.4662741950406,13837.742412917787,5
