single_efficiency,roundtrip_efficiency,cost
0.8,0.6400000000000001,38223.65161906146
0.85,0.7224999999999999,36603.40648002707
0.9,0.81,35126.948589289634
0.9486832980505138,0.8999999999999999,33801.49554222202
1.0,1.0,32377.088240581663
