soc_kwh,cost_yuan
1200.0,37419.29858928962
2550.0,36772.648589289616
3300.0,36414.14858928962
4050.0,36055.731922622945
4800.0,35697.981922622945
5550.0,35340.898589289616
6300.0,34984.31525595628
7050.0,34628.31525595628
7800.0,34272.39858928961
8550.0,33916.648589289616
9300.0,33562.648589289616
10050.0,33208.898589289616
10800.0,32899.481922622945
