usable_capacity_kwh,cost,flexibility_value
0.0,48052.04659084666,0.0
2400.0,43714.6961305818,4337.350460264861
4800.0,40020.404345808456,8031.6422450382015
7200.0,37169.58872190512,10882.457868941536
9600.0,35126.948589289634,12925.098001557024
12000.0,33556.750449611296,14495.296141235362
