soc_kwh,future_cost_yuan
1200.0,37416.38192262295
1800.0,37128.98192262295
2550.0,36770.48192262296
3300.0,36412.06525595628
4050.0,36054.31525595628
4800.0,35697.23192262295
5550.0,35340.648589289616
6300.0,34984.31525595628
7050.0,34628.31525595628
7800.0,34272.398589289616
8550.0,33916.64858928961
9300.0,33562.64858928961
10050.0,33208.89858928961
10800.0,32899.48192262295
