date,soc_start_kwh,soc_end_kwh,total_cost_yuan,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,plan_kwh,emergency_kwh,charge_kwh,discharge_kwh,spill_kwh
2025-02-01,9902.8112878703687,7146.478254398954,18284.532610557413,18284.532610557413,0,0,0,42547.167056565202,0,16908.617003353356,16176.679502840492,7437.0536227190069
2025-02-02,7146.478254398954,7209.2122243595595,65534.244158696711,65534.244158696711,0,0,0,92754.40921226106,0,21060.854292104061,17002.831403639742,10340.108373796742
2025-02-03,7209.2122243595595,7007.6970895712166,64351.181299610849,64351.181299610849,0,0,0,89830.953192255081,0,21202.436760265176,17355.337397124305,5766.9373291142119
2025-02-04,7007.6970895712166,7135.7078945229432,64063.863220687446,64063.863220687446,0,0,0,90084.300770894042,0,24007.059031467397,19330.508091032032,4212.8858804586807
2025-02-05,7135.7078945229432,6131.2682336912812,65328.273301250221,58624.291564708445,0,0,6703.9817365417775,83148.586705438996,1168.5128029191799,22344.56911979655,19003.096681783696,227.20008701199242
2025-02-06,6131.2682336912812,5990.5424038382062,61302.003616289061,60904.409712565801,0,0,397.59390372326192,86581.161026788206,56.458860649377584,24386.377021486755,19879.618634272047,1859.8042835562123
2025-02-07,5990.5424038382062,5732.0304849388376,18235.059017748295,16391.187812772601,0,0,1843.8712049756939,39456.080820464471,438.14701727820102,20122.707770670939,16532.054021252894,4497.8944216579639
2025-02-08,5732.0304849388376,5851.0310981221992,20243.199677273711,14425.427360229824,0,0,5817.7723170438858,35353.307179140094,1223.145256669332,20317.985927849044,16350.468049692703,1031.7718409864208
2025-02-09,5851.0310981221992,5904.9783698211231,69763.099933625141,56515.646723724574,0,0,13247.453209900581,81953.570015178935,2209.2268610669048,23541.438644250793,19020.012757314111,85.95502264248455
2025-02-10,5904.9783698211231,5770.5710018317714,57512.046662033456,55887.385249155472,0,0,1624.6614128779736,82241.219064715711,295.66151069175612,21196.065438800564,17289.77963661887,4303.9571898924514
2025-02-11,5770.5710018317714,5958.5463157819468,58919.14117156055,54651.668187117772,0,0,4267.4729844427857,80858.782527564297,710.70758155041369,23743.614640947366,19063.150076612212,1668.4284114462134
2025-02-12,5958.5463157819468,6067.3383619151055,56467.63046087962,55770.321801694045,0,0,697.30865918557902,82378.10650309184,127.04685450881172,23239.035476782796,18725.705894674225,2725.0876421587664
2025-02-13,6067.3383619151055,6201.7722684142964,54928.51622597035,54928.51622597035,0,0,0,81651.438313878345,0,20752.086107602812,16688.199231309009,6258.0724209178716
2025-02-14,6201.7722684142964,5836.0556558715562,17465.514916441105,14588.939579348873,0,0,2876.5753370922293,35178.666631038192,598.70218058853777,20576.862793204535,16996.403813784142,2395.108015539673
2025-02-15,5836.0556558715562,5800.07954576875,16142.069159986429,15212.054714474449,0,0,930.0144455119771,35701.052332475323,219.62667727470983,20298.055882657307,16473.803764044947,2816.3357911376679
2025-02-16,5800.07954576875,6192.7591591579776,59214.633883741422,53661.797244863017,0,0,5552.8366388784007,79680.440078039421,992.45650623525125,22763.650499944873,18085.145252905044,617.01223723484236
2025-02-17,6192.7591591579776,6125.6740003586528,53018.155898619239,52642.200975539454,0,0,375.95492307978088,78633.450416411317,60.289087938263378,21947.567811568042,17837.90657028951,3400.2150964043917
2025-02-18,6125.6740003586528,6278.7718313123105,51776.269602032553,51730.889328771307,0,0,45.380273261242429,78206.831051844347,8.6395906775750291,22244.900798450355,17880.581598886492,1759.7636596247225
2025-02-19,6278.7718313123105,6010.1248190148399,54269.326573998915,51933.696714330115,0,0,2335.6298596688048,78380.687638155447,439.98490496927457,22645.79926672118,18584.879717111871,1880.4256101820802
2025-02-20,6010.1248190148399,6571.6438333529804,52452.876204063243,52231.724234017376,0,0,221.15197004586233,78607.261127503589,39.417515381135786,22355.783188957299,17602.817270151085,2900.5789907451754
2025-02-21,6571.6438333529804,6244.7448907371408,14870.453460521345,14807.098010237181,0,0,63.355450284162607,34967.687615471834,13.969299619969568,20757.20876642043,17107.548149154802,5771.7342644928403
2025-02-22,6244.7448907371408,6458.3481830905384,15056.584272942819,15056.584272942819,0,0,0,35576.74336388307,0,20278.512200081936,16233.351918948309,3686.8201994161109
2025-02-23,6458.3481830905384,6676.0438670760996,51565.322189556282,51565.322189556282,0,0,0,77849.460581037638,0,23193.970257101166,18591.18979266494,1714.8264332680833
2025-02-24,6676.0438670760996,6275.4269633914564,50227.984805147469,50066.607303953519,0,0,161.37750119395139,75737.853726967704,31.583814696927561,21091.529545399288,17444.694145089597,3919.5685246882795
2025-02-25,6275.4269633914564,6428.1952305811265,49580.448622203432,49368.994888496243,0,0,211.45373370719017,76324.607103129005,41.058208573737033,21391.958601684491,17189.995026893739,6342.3785035786614
2025-02-26,6428.1952305811265,6451.1580714111833,50350.061651346434,49600.795877704048,0,0,749.26577364238847,76089.27545057892,116.17424197881826,23500.203319939057,19014.498132403576,2904.8964716889186
2025-02-27,6451.1580714111833,6611.7762910255733,50198.393050120452,47399.820801100475,0,0,2798.5722490199682,74708.293411979801,532.13671169436725,23083.487458126783,18553.068443429751,3753.4269089771351
2025-02-28,6611.7762910255733,6376.3772345964335,13903.505704925949,13903.505704925949,0,0,0,33907.040998130396,0,19005.781432493437,15606.542111105915,7215.208126742873
2025-03-01,6376.3772345964335,6648.494015431269,14384.130650253166,14384.130650253166,0,0,0,34747.698460826155,0,17974.94776791496,14314.802589259767,7428.7873488376354
2025-03-02,6648.494015431269,6183.9282583840477,72282.299100891003,47828.577779537372,0,0,24453.721321353631,73339.33471495533,3893.2631039999501,19132.556252002087,15915.479745464192,1657.2142457507234
2025-03-03,6183.9282583840477,6110.2754513511018,67642.340542352555,48021.091066652254,0,0,19621.249475700308,73985.852616620759,3255.9672316525293,22005.358837031032,17890.628184324793,1109.9425622337246
2025-03-04,6110.2754513511018,6664.3114641413858,49497.19582400324,49497.19582400324,0,0,0,76190.157757357418,0,22601.506034682054,17808.5874765812,2197.7812659232341
2025-03-05,6664.3114641413858,6633.0768353377343,50842.683165589027,50842.683165589027,0,0,0,78929.266697132698,0,19828.562393893884,16089.246704977337,9059.4789915495039
2025-03-06,6633.0768353377343,6569.4883792556511,49308.986554881136,49308.986554881136,0,0,0,76512.070466343677,0,20257.016145180081,16465.41268806974,6779.8128759000065
2025-03-07,6569.4883792556511,6430.0328982681112,13583.010799454049,13583.010799454049,0,0,0,33069.959174926698,0,16450.660785767297,13450.545169360299,9147.5580251863703
2025-03-08,6430.0328982681112,6513.4189771211486,13202.960262731413,13202.960262731413,0,0,0,31897.654130339026,0,17134.768135211736,13804.114718553776,9503.8611970143993
2025-03-09,6513.4189771211486,6808.9991262805543,47219.277364328649,47219.277364328649,0,0,0,74812.356500113092,0,21180.915914042242,16890.519756130754,7188.4352922015933
2025-03-10,6808.9991262805543,6289.4163993619468,49653.395674705382,46515.975632964735,0,0,3137.4200417406432,71390.947878739797,487.8588153849546,21834.875131122306,18153.873310435811,155.73342343826926
2025-03-11,6289.4163993619468,6654.2389179031998,46339.083581520448,46339.083581520448,0,0,0,73256.993760221885,0,21268.505099006332,16899.148863508002,4948.7187247235597
2025-03-12,6654.2389179031998,6255.2015751846175,44604.390097882002,44604.390097882002,0,0,0,71079.128842610924,0,20438.819369334517,16914.577297607688,5119.3520875507575
2025-03-13,6255.2015751846175,6311.4334267400864,58519.198383552335,44450.290790147919,0,0,14068.907593404418,69802.729136004695,2348.7530206624315,20715.151446077525,16728.664004922866,619.37669884580032
2025-03-14,6311.4334267400864,6371.9582074514683,13064.219818319401,12407.815657072337,0,0,656.4041612470636,30528.346856404689,215.74972614225015,17286.371587727808,13947.488683419284,11375.787694905084
2025-03-15,6371.9582074514683,5906.0679077936029,13665.010168126923,12676.427887962207,0,0,988.58228016471639,30933.619243436049,293.4517146237045,18586.733294981157,15474.555238626815,7190.7677517054108
2025-03-16,5906.0679077936029,6806.8347775036782,45294.862647719186,45286.781547719183,0,0,8.0811000000004931,72327.962972200839,1.6400000000001,21631.537064821674,16710.854839766493,4057.8738138123254
2025-03-17,6806.8347775036782,6529.8424153304504,42879.599592831626,42879.599592831626,0,0,0,70253.560339232659,0,19226.872525106213,15823.059871291936,8991.6162520850448
2025-03-18,6529.8424153304504,6344.8414304518001,47184.333030488706,41110.660382978371,0,0,6073.6726475103369,66780.966615956539,1114.9094483721628,21849.519410630186,17864.61160900124,2785.0098960330947
2025-03-19,6344.8414304518001,6850.7181982385437,42638.292083004824,41644.295880264821,0,0,993.99620274000256,68029.57726199094,198.14488870998073,22011.570314918485,17374.082864075906,4124.7642498583446
2025-03-20,6850.7181982385437,6409.0507213139972,42355.141458812883,42355.141458812883,0,0,0,67791.08268140514,0,21131.722988789756,17514.196350151793,1964.5942261005112
2025-03-21,6409.0507213139972,6080.9214363005003,13092.654997949332,12134.322632621035,0,0,958.33236532829619,30221.25451102986,321.3624934798089,19211.353077620814,15856.512349385004,15154.311759607193
2025-03-22,6080.9214363005003,6950.9513977517481,12915.060817628802,12915.060817628802,0,0,0,31463.294163382769,0,17715.587343758569,13566.598783138314,11433.105869429186
2025-03-23,6950.9513977517481,6464.9282496769447,40816.957584208503,40816.957584208503,0,0,0,66767.792558057437,0,20484.299911907226,17029.703761912177,4543.4762913957211
2025-03-24,6464.9282496769447,6462.507864089871,39951.518936225511,39951.518936225511,0,0,0,65094.384522740795,0,21450.333233112407,17376.94826584942,3022.5024721444806
2025-03-25,6462.507864089871,6176.0573320736048,42686.800044716998,39596.187366587721,0,0,3090.6126781292814,64626.731137345174,553.34860229677736,21466.196655646687,17645.424769888461,409.18313721705363
2025-03-26,6176.0573320736048,6420.9764384126138,39899.695740160721,39899.695740160721,0,0,0,65846.018665044394,0,21480.708122953529,17178.946383887254,5951.7020593114557
2025-03-27,6420.9764384126138,6388.1348782835512,39533.541500888423,39533.541500888423,0,0,0,65120.274665528639,0,20774.363076492649,16856.79149607521,2485.7136851112
2025-03-28,6388.1348782835512,6423.9662188236462,12111.647927244469,11835.781485223357,0,0,275.86644202111194,29697.883018021312,80.140253638428021,18827.016146032482,15217.634871800226,15346.761230760821
2025-03-29,6423.9662188236462,6402.1554691277152,11833.022427294502,11833.022427294502,0,0,0,29958.210586900452,0,18007.356013208333,14605.588045425095,18849.233435783884
2025-03-30,6402.1554691277152,6948.1941526053552,37990.138183316529,37990.138183316529,0,0,0,63536.414857664124,0,20877.304936470515,16419.182183411242,3732.6724046048621
2025-03-31,6948.1941526053552,6432.0957238137371,38631.934305251263,36822.433700658381,0,0,1809.500604592876,60686.284793832841,270.49863287134701,19225.491346337411,16037.136576445762,817.03917347921333
2025-04-01,6432.0957238137371,6308.3418450952122,48619.500269520191,38744.006723780964,0,0,9875.4935457392221,62484.543738763212,1511.5462279077842,18448.458084188758,15054.629539039561,393.40990485513453
2025-04-02,6308.3418450952122,6308.0681935162474,48833.171390455027,38339.244672163783,0,0,10493.926718291248,63180.863309740278,1930.0793808390872,21222.448493254098,17190.429565956889,643.58836328216
2025-04-03,6308.0681935162474,6661.1614564348038,40279.066676195929,39605.232511856389,0,0,673.83416433953971,65422.199764618694,128.76955643467596,21640.456205074814,17210.985589483898,5257.9684387957786
2025-04-04,6661.1614564348038,6393.2888372990146,10928.186486015671,10928.186486015671,0,0,0,28137.766259931544,0,17331.756282068342,14279.807945697568,18655.015673560778
2025-04-05,6393.2888372990146,6359.9033158082148,11647.243740033022,11647.243740033022,0,0,0,29412.475404566227,0,17222.561144218693,13980.321496158856,14126.120773173056
2025-04-06,6359.9033158082148,6748.3867896670645,38445.387795309551,38445.387795309551,0,0,0,63473.406545180551,0,20701.02294183139,16418.193456410459,4780.5007930929569
2025-04-07,6748.3867896670645,6378.1019780010038,36893.897146736439,36893.897146736439,0,0,0,61553.489256129156,0,19895.6344658983,16448.720247877085,4863.8557547746132
2025-04-08,6378.1019780010038,6132.3652804367684,37344.586754301206,37344.586754301206,0,0,0,62377.601812426823,0,21091.437549167247,17305.227442633281,4238.198089226199
2025-04-09,6132.3652804367684,6140.8345845253016,48801.088181256142,37278.305787497964,0,0,11522.782393758178,62197.844323676523,1780.7116346010546,19407.047026311666,15712.085717632764,1149.2836329320207
2025-04-10,6140.8345845253016,6303.621292908434,37552.636770103316,37552.636770103316,0,0,0,63141.174066510117,0,21076.462293149169,16925.426419906002,4529.5002932669504
2025-04-11,6303.621292908434,6073.0383631699533,10808.618584408934,10808.618584408934,0,0,0,27749.885550832823,0,17002.020048420898,13979.160875985563,19410.376211730814
