window_days,validation_cost,annual_cost,load_mae_kwh,pv_mae_kwh
28,509757.46832152444,14211345.152710643,30.85745206787271,26.69619736437604
56,509757.46832152444,14152541.054615315,29.76182372567249,25.98897677864026
60,509757.46832152444,14132612.15924625,29.977229561767857,25.88000638456854
84,509757.46832152444,14033154.464692568,29.152385366314526,25.76536447033342
