initial_soc,dp_cost,milp_cost
1200.0,37416.38192262295,37416.38192262296
2400.0,36842.181922622956,36842.181922622956
3600.0,36268.96525595628,36268.9652559563
4800.0,35697.23192262295,35697.23192262296
6000.0,35126.84858928961,35126.848589289635
7200.0,34557.131922622946,34557.13192262297
8400.0,33987.79858928961,33987.79858928963
9600.0,33421.14858928961,33421.14858928963
10800.0,32899.48192262295,32899.48192262296
