date,model,nominal_cost,oracle_lower,regret
2025-02-01,seasonal,18361.862477592615,17998.970342377095,362.89213521551937
2025-02-01,ridge,18284.532610557413,17998.970342377095,285.56226818031791
2025-02-01,gru_mean,18387.429144259284,17998.970342377095,388.45880188218871
2025-02-02,seasonal,65441.985369558919,64999.181622205375,442.80374735354417
2025-02-02,ridge,65534.244158696718,64999.181622205375,535.06253649134305
2025-02-02,gru_mean,65463.387448632537,64999.181622205375,464.20582642716181
2025-02-03,seasonal,64294.992131744992,63797.53499412402,497.45713762097148
2025-02-03,ridge,64351.181299610849,63797.53499412402,553.64630548682908
2025-02-03,gru_mean,64384.626363016687,63797.53499412402,587.09136889266665
2025-02-04,seasonal,64018.109132830185,63644.911868947165,373.19726388301933
2025-02-04,ridge,64063.863220687439,63644.911868947165,418.95135174027382
2025-02-04,gru_mean,64052.62807849118,63644.911868947165,407.71620954401442
2025-02-05,seasonal,58496.040864278468,58135.58665203413,360.45421224433812
2025-02-05,ridge,58624.291564708445,58135.58665203413,488.70491267431498
2025-02-05,gru_mean,58547.765461079834,58135.58665203413,412.17880904570484
2025-02-06,seasonal,60962.417357175058,60314.223781686531,648.19357548852713
2025-02-06,ridge,60904.409712565801,60314.223781686531,590.18593087927002
2025-02-06,gru_mean,60931.107854772854,60314.223781686531,616.88407308632304
2025-02-07,seasonal,16432.642519681918,16119.91395439472,312.72856528719785
2025-02-07,ridge,16391.187812772601,16119.91395439472,271.27385837788097
2025-02-07,gru_mean,16350.607692278849,16119.91395439472,230.6937378841285
2025-02-08,seasonal,14465.83656892822,14150.809659395047,315.02690953317324
2025-02-08,ridge,14425.427360229824,14150.809659395047,274.61770083477677
2025-02-08,gru_mean,14478.886568928221,14150.809659395047,328.07690953317433
2025-02-09,seasonal,56332.701131358932,55974.642512584134,358.05861877479765
2025-02-09,ridge,56515.646723724567,55974.642512584134,541.00421114043274
2025-02-09,gru_mean,56427.453088912443,55974.642512584134,452.81057632830925
2025-02-10,seasonal,55630.800066585783,55260.578175951065,370.22189063471887
2025-02-10,ridge,55887.385249155472,55260.578175951065,626.80707320440706
2025-02-10,gru_mean,55610.754978199679,55260.578175951065,350.17680224861397
2025-02-11,seasonal,54730.582263160191,54206.453179015909,524.12908414428239
2025-02-11,ridge,54651.668187117772,54206.453179015909,445.21500810186262
2025-02-11,gru_mean,54734.849683581924,54206.453179015909,528.39650456601521
2025-02-12,seasonal,55687.924974822927,55226.917498220457,461.00747660246998
2025-02-12,ridge,55770.321801694052,55226.917498220457,543.40430347359506
2025-02-12,gru_mean,55619.391485419619,55226.917498220457,392.47398719916237
2025-02-13,seasonal,54741.113786349772,54231.250166859754,509.8636194900173
2025-02-13,ridge,54928.51622597035,54231.250166859754,697.26605911059596
2025-02-13,gru_mean,54803.918318156226,54231.250166859754,572.66815129647148
2025-02-14,seasonal,14557.126264564718,14257.510299335103,299.61596522961554
2025-02-14,ridge,14588.939579348873,14257.510299335103,331.42928001377004
2025-02-14,gru_mean,14551.239983194708,14257.510299335103,293.72968385960485
2025-02-15,seasonal,15165.721562684583,14837.975991774665,327.74557090991766
2025-02-15,ridge,15212.054714474449,14837.975991774665,374.07872269978361
2025-02-15,gru_mean,15164.85992352388,14837.975991774665,326.88393174921475
2025-02-16,seasonal,53562.131465276827,53249.69421405092,312.43725122590695
2025-02-16,ridge,53661.797244863017,53249.69421405092,412.10303081209713
2025-02-16,gru_mean,53635.303138729098,53249.69421405092,385.60892467817757
2025-02-17,seasonal,52527.758685282788,52141.173053467304,386.58563181548379
2025-02-17,ridge,52642.200975539454,52141.173053467304,501.02792207214952
2025-02-17,gru_mean,52548.336126550821,52141.173053467304,407.16307308351679
2025-02-18,seasonal,51690.152886796546,51162.188554710177,527.96433208636881
2025-02-18,ridge,51730.889328771314,51162.188554710177,568.70077406113705
2025-02-18,gru_mean,51687.525884705727,51162.188554710177,525.33732999554923
2025-02-19,seasonal,51869.286924643056,51290.477998570212,578.80892607284477
2025-02-19,ridge,51933.696714330108,51290.477998570212,643.21871575989644
2025-02-19,gru_mean,51944.239846157812,51290.477998570212,653.76184758760064
2025-02-20,seasonal,52311.021971689726,51895.989265441924,415.03270624780271
2025-02-20,ridge,52231.724234017383,51895.989265441924,335.73496857545979
