date,strategy,soc_start_kwh,soc_end_kwh,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,original_plan_kwh,increase_kwh,decrease_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_intervals
2025-02-01,q4_3_oracle,9902.8112878703687,6417.5207692279573,37580.998917435194,16732.395712000653,16690.001993498699,0,3160.4292655999134,40230.795669666819,0,2649.796752231623,17264.954590404734,0,-630.19055503836489,0,16634.764035366366,0
2025-02-02,q4_3_oracle,6417.5207692279573,6746.6138106082744,86292.524814834745,22717.323522567072,18104.848316037038,16.797485870730384,3340.5691441754516,90178.774068232975,171.22739821203868,4057.4766516102791,62674.855084056013,267.19232631325065,-1625.4905671507806,90.278087812240443,61406.834931030724,1
2025-02-03,q4_3_oracle,6746.6138106082744,6430.7662702554808,86564.415085909233,23111.766189269802,19004.793399626054,32.850708527958659,2273.3765047934457,91565.965429131058,98.045166128717483,5099.5955093505354,65209.715424084548,188.39378671633065,-2272.3500448584336,176.58898369204175,63302.34814963449,1
2025-02-04,q4_3_oracle,6430.7662702554808,6597.1421036782604,89357.996053278082,23359.3839165627,18771.362722335289,0,3575.1109090506689,94849.726883585943,295.34287410946621,5787.073704417342,67834.940648385003,492.67043805042459,-2424.7662077354221,0,65902.844878700009,0
2025-02-05,q4_3_oracle,6597.1421036782604,5875.3891166205176,84524.792729524866,23728.241520818294,19869.45332021479,646.41651209799579,563.99405768603629,83062.733497243549,2154.7997731441501,692.74054086283616,57877.164050707521,3235.921843784653,-323.17676630686555,3993.121001764031,64783.030129949344,7
2025-02-06,q4_3_oracle,5875.3891166205176,5833.4952502493752,85024.255626517261,24208.587474491826,19646.66033407241,299.03905837575445,490.31032780694318,90506.13277402299,1136.4632652032492,6618.3404127089743,63998.012511568253,2135.9620895711655,-2975.0256088644419,1588.5209306714887,64747.46992294646,10
2025-02-07,q4_3_oracle,5833.4952502493752,5570.8875465178444,37716.196589976455,21822.431336351641,17912.516315803201,854.26100952306774,2854.8629122844204,40140.355410899581,572.27258127539596,2996.431402198521,16158.357548548931,572.20438096635701,-627.21522437153726,3522.9454296799763,19626.292134823725,7
2025-02-08,q4_3_oracle,5570.8875465178444,5609.5086966550743,35495.657595910547,20896.89061877866,16891.722366087204,1097.5596571624046,1010.8862837148336,33164.162658462395,2331.4949374481512,0,12786.61021704242,2633.3987647970043,0,5550.5735890503802,20970.582570889805,8
2025-02-09,q4_3_oracle,5609.5086966550743,5687.3016393072694,83577.027117477817,22949.559479105512,18519.129529688489,731.14240037718992,322.32360177131659,81742.886087192252,2069.2511261188929,235.11009583333384,56122.898480573887,3140.8365665639089,-87.307538194375198,4330.7965507396793,63507.224059683096,8
2025-02-10,q4_3_oracle,5687.3016393072694,5594.9332313544428,77935.302020224568,23164.733932064282,18846.566052129605,726.5619942751913,17.058551231748424,79217.790321524415,665.26593255667876,1947.754233856539,52723.309127145447,1183.2967884570469,-698.85090251096744,3959.8793022396931,57167.634315331212,11
2025-02-11,q4_3_oracle,5594.9332313544428,5830.4026638868709,77818.700500710765,22062.704956786736,17658.86852571807,1862.8786448868964,57.145581195673344,79258.07511895409,2361.1782360383013,3800.5528542816151,53177.753543698556,4138.6472571015811,-1645.0918198734605,10641.52947860727,66312.838459533945,17
2025-02-12,q4_3_oracle,5830.4026638868709,5898.8191773396202,79112.358246152813,23127.60385605241,18671.784261294983,785.35643154076365,175.15894960281253,81769.958618227582,1203.957570643182,3861.5579427179614,54966.09689304998,2255.3918411589889,-1600.7306458588664,4217.288609725867,59838.046698075974,16
2025-02-13,q4_3_oracle,5898.8191773396202,5963.8919299981017,75978.791585585306,22601.427604079254,18248.590881911568,431.02549786172455,727.50134461268158,76549.650747379317,1251.2873238708034,1822.1464856648004,50041.024071923341,1608.7228035601038,-632.81077863524365,2483.6055745328772,53500.54167138107,9
2025-02-14,q4_3_oracle,5963.8919299981017,5664.6170051011431,35533.216321345339,21055.640029480408,17324.415856286389,479.54621432589909,2479.7365458105555,34170.288893000659,1362.9274283446794,0,13494.954589681238,1432.1248808852531,0,2253.2353353366389,17180.31480590313,11
2025-02-15,q4_3_oracle,5664.6170051011431,5654.1912957468594,35297.731179362781,19874.71302918762,16107.900692060824,486.51919986693412,2737.3469421029213,34543.612531784209,1137.3000171256647,383.18136954709331,14316.453126791799,1238.3557953108998,-127.66121228394196,2117.0422535118223,17544.18996333058,8
2025-02-16,q4_3_oracle,5654.1912957468594,5915.6551120687136,79466.082029873389,23181.797062533238,18541.938185962252,784.0779586353616,232.92201193776543,83441.816778451495,1652.1050966813987,5627.839845259512,56211.169281228526,3114.9116876177918,-2302.0096248152204,4255.1806013142941,61279.251945345386,10
2025-02-17,q4_3_oracle,5915.6551120687136,5843.2473095355554,75408.343559337343,22375.773583687253,18189.543625066519,289.73921066983763,327.98964471978672,82956.04771458781,1150.8431593028663,8698.5473145533251,55318.2648618073,2192.4527800999185,-3295.1004404698056,1821.3381180577539,56036.955319495159,7
2025-02-18,q4_3_oracle,5843.2473095355554,6017.6509929458452,76830.067244129445,22709.448844284627,18237.690248801286,87.598095003306497,354.5189603160818,73963.667347504495,2866.3998966249465,0,47854.811605291252,4417.6937286005104,0,501.31294162684776,52773.818275518614,5
2025-02-19,q4_3_oracle,6017.6509929458452,5841.1004615493712,77650.707832272936,25415.530338727011,20745.475052625705,247.05312879883971,348.37829163713462,75298.234915122463,2455.5913282615784,103.1184111111113,49036.598311614514,2950.0190156115718,-28.19927082319451,1171.6092749171507,53130.027331320045,12
2025-02-20,q4_3_oracle,5841.1004615493712,6143.1945710727923,76622.917186067803,24013.485702826008,19179.038720717992,65.40048203620249,860.73695266265929,78640.217418451939,612.66631878140663,2629.9665511655435,51633.703680041493,1055.0059868504106,-1008.8363291887091,354.98476305693453,52034.858100760131,3
