single_efficiency,roundtrip_efficiency,cost
0.8,0.6400000000000001,38223.30161906146
0.85,0.7224999999999999,36603.212362380014
0.9,0.81,35126.848589289635
0.9486832980505138,0.8999999999999999,33801.47764894514
1.0,1.0,32378.52766402333
