date,soc_start_kwh,soc_end_kwh,total_cost_yuan,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,plan_kwh,emergency_kwh,charge_kwh,discharge_kwh,spill_kwh
2025-02-01,9902.8112878703687,7146.478254398954,18284.532610557439,18284.532610557413,0,0,2.4265865761208259e-11,42547.167056565202,5.3432813729159534e-12,16908.617003353356,16176.67950284049,7437.0536227190078
2025-02-02,7146.478254398954,7209.2122243595595,65534.244158696725,65534.244158696711,0,0,1.1845287417600048e-11,92754.40921226106,2.0747847884194925e-12,21060.854292104061,17002.83140363975,10340.108373796742
2025-02-03,7209.2122243595595,7007.6970895712166,64351.181299610893,64351.181299610849,0,0,4.0865220096719667e-11,89830.953192255081,7.2462036371234717e-12,21202.436760265176,17355.337397124305,5766.9373291142119
2025-02-04,7007.6970895712166,7135.7078945229432,64063.863220687475,64063.863220687446,0,0,2.8191323053761153e-11,90084.300770894042,4.7677417569502722e-12,24007.059031467397,19330.508091032036,4212.8858804586807
2025-02-05,7135.7078945229432,6131.2682336912812,65331.428577814848,58624.291564708445,0,0,6707.1370131064068,83148.586705438996,1168.5128029191862,22344.56911979655,19003.096681783703,227.20008701199242
2025-02-06,6131.2682336912812,5990.5424038382062,61302.003616289112,60904.409712565801,0,0,397.59390372331507,86581.161026788206,56.45886064938756,24386.377021486755,19879.618634272039,1859.8042835562126
2025-02-07,5990.5424038382062,5732.0304849388376,18196.572407776883,16391.187812772601,0,0,1805.3845950042814,39456.080820464471,438.14701727820824,20122.707770670939,16532.054021252898,4497.8944216579639
2025-02-08,5732.0304849388376,5851.0310981221992,19651.011212180565,14425.427360229824,0,0,5225.5838519507442,35353.307179140094,1223.1452566693406,20317.985927849044,16350.468049692701,1031.7718409864206
2025-02-09,5851.0310981221992,5904.9783698211231,69575.50956205932,56515.646723724574,0,0,13059.862838334742,81953.570015178935,2209.2268610669084,23541.438644250789,19020.012757314114,85.955022642484664
2025-02-10,5904.9783698211231,5770.5710018317714,57551.742945076097,55887.385249155472,0,0,1664.3576959206218,82241.219064715711,314.87416030523377,21172.346118290108,17270.566987005401,4327.6765104029064
2025-02-11,5770.5710018317714,5958.5463157819468,58833.852475883075,54651.668187117772,0,0,4182.1842887653056,80858.782527564297,710.70758155042267,23743.614640947366,19063.150076612212,1668.428411446213
2025-02-12,5958.5463157819468,6067.3383619151055,56467.630460879693,55770.321801694045,0,0,697.30865918564086,82378.10650309184,127.04685450882376,23239.035476782796,18725.705894674225,2725.0876421587645
2025-02-13,6067.3383619151055,6201.7722684142964,54928.516225970394,54928.51622597035,0,0,5.0937809414897118e-11,81651.438313878345,1.0388301330266358e-11,20752.086107602809,16688.199231309005,6258.0724209178734
2025-02-14,6201.7722684142964,5836.0556558715562,16823.458687121467,14588.939579348873,0,0,2234.519107772594,35178.666631038192,598.7021805885455,20576.862793204535,16996.403813784145,2395.108015539673
