date,strategy,soc_start_kwh,soc_end_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,original_plan_kwh,plan_kwh,increase_kwh,decrease_kwh,emergency_kwh,spill_kwh,emergency_intervals
2025-02-01,q4_3_gru2026,9902.8112878703687,6400.918742389169,16672.321573020487,116.62749078636497,-373.05555093635598,0,16415.893512870498,38250.318512222439,37006.66605031638,91.504837618269164,1335.1572995243284,0,2775.7888787353841,0
2025-02-02,q4_3_gru2026,6400.918742389169,6585.6213615745337,61413.101958421103,374.58713936072706,-841.80146255488933,0,60945.887635226944,88230.14804802103,86279.404358944696,247.04732615229216,2197.7910152286354,0,3660.197659407635,0
2025-02-03,q4_3_gru2026,6585.6213615745337,6473.3956452472166,64626.036423679099,543.55598918230112,-1442.2072939521313,0,63727.385118909267,90419.724338023865,87082.329371864122,304.56434649089545,3641.9593126506334,0,2841.5518928202932,0
2025-02-04,q4_3_gru2026,6473.3956452472166,6737.1869406678125,67369.616329069089,677.24829013020235,-2093.2506119641344,0,65953.614007235155,93747.69070641241,89100.997303239827,382.98317082602557,5029.6765739985967,0,3296.7582639281545,0
2025-02-05,q4_3_gru2026,6737.1869406678125,5939.5104361204512,57590.540007463584,2078.8354760410375,-30.612934203333317,6487.0606799940033,66125.823229295289,82174.784057475699,83386.543999363057,1286.2268668873535,74.466924999999947,1163.6212699631885,168.72699014047203,10
2025-02-06,q4_3_gru2026,5939.5104361204512,5777.9927328904141,63885.368932183359,2843.4336303726673,-2727.2900138609925,1128.5911475221758,65130.103696217215,89981.199874600279,85246.468443338483,1550.1418264645613,6284.8732577263581,211.72304203322818,793.65553470020666,7
2025-02-07,q4_3_gru2026,5777.9927328904141,5561.2622043540141,16108.289851245474,398.9988543537209,-470.49837466980875,3772.8016094234108,19809.591940352795,39340.3294068787,37717.310610395172,330.93837071645765,1953.9571671999829,854.67761866164938,3063.9345096752236,7
2025-02-08,q4_3_gru2026,5561.2622043540141,5621.8593967629104,12865.296827549588,1900.0740672528864,0,10384.848449029691,25150.219343832163,32714.920710190832,34276.347790757776,1561.4270805669435,0,2168.4749197860237,988.88236666666683,13
2025-02-09,q4_3_gru2026,5621.8593967629104,5674.4000764305929,55849.439164200361,4004.2398262630459,-4.2131726977083481,4743.604654544095,64593.070472309795,81063.716557817592,83518.150956905549,2467.2229032546247,12.788504166666712,798.67063061340957,418.35065848103795,8
2025-02-10,q4_3_gru2026,5674.4000764305929,5534.2946972738227,52478.479593929551,2149.3802321516191,-558.18525289152876,4089.9089638369733,58159.583537026614,78380.626656003849,78038.981166795173,1156.8319419804707,1498.4774311891442,710.2871940591665,475.48240934637533,9
2025-02-11,q4_3_gru2026,5534.2946972738227,5765.2734192310845,53002.569621217801,3760.3982325326606,-1348.7146949524631,13525.368632256108,68939.621791054116,78386.865307056025,77257.668830880808,1978.5000329692398,3107.6965091444517,2359.1161303267027,69.925047492571593,18
2025-02-12,q4_3_gru2026,5765.2734192310845,5880.1370826812308,54587.255487309187,3420.1432862747693,-1100.8211957894252,2817.5299918258875,59724.107569620413,80895.191995414265,79800.301065828127,1820.9775706865798,2915.8685002727307,497.49397591300095,793.64778428237048,9
