date,strategy,soc_start_kwh,soc_end_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,original_plan_kwh,plan_kwh,increase_kwh,decrease_kwh,emergency_kwh,spill_kwh,emergency_intervals
2025-02-01,q4_2_gru2026,9902.8112878703687,7208.1860357492051,18387.429144259288,0,0,0,18387.429144259288,42331.246148632912,42331.246148632912,0,0,0,7357.2083779522327,0
2025-02-02,q4_2_gru2026,7208.1860357492051,7233.5636892556131,65450.02475720238,0,0,0,65450.02475720238,92477.566950006818,92477.566950006818,0,0,0,10228.407112630222,0
2025-02-03,q4_2_gru2026,7233.5636892556131,6979.8341247017415,64400.116776531591,0,0,0,64400.116776531591,89783.280017971352,89783.280017971352,0,0,0,5784.8789674857762,0
2025-02-04,q4_2_gru2026,6979.8341247017415,7110.8957326878945,64125.847254600951,0,0,0,64125.847254600951,89997.020635571185,89997.020635571185,0,0,0,4236.73982476117,0
2025-02-05,q4_2_gru2026,7110.8957326878945,6101.1529311614913,58558.604133546803,0,0,6835.9485081228049,65394.552641669616,83293.741281079216,83293.741281079216,0,0,1236.7003564549836,317.40069082826119,9
2025-02-06,q4_2_gru2026,6101.1529311614913,5965.9723348193302,60964.638583640452,0,0,397.59390372326192,61362.232487363704,86547.949964256171,86547.949964256171,0,0,56.458860649377584,1857.0246639323263,3
2025-02-07,q4_2_gru2026,5965.9723348193302,5735.1091447757462,16363.002551197758,0,0,1843.8712049756939,18206.873756173452,39483.380897152107,39483.380897152107,0,0,438.14701727820102,4498.6222257458121,2
2025-02-08,q4_2_gru2026,5735.1091447757462,5851.8463529404426,14464.813769715738,0,0,5784.7641745824803,20249.57794429822,35454.476705179128,35454.476705179128,0,0,1216.7687199241554,1031.7718409864208,8
2025-02-09,q4_2_gru2026,5851.8463529404426,5912.2819434556095,56439.715052960761,0,0,13629.981648576409,70069.696701537177,81635.99750982532,81635.99750982532,0,0,2200.6378761404967,66.625211173447838,17
2025-02-10,q4_2_gru2026,5912.2819434556095,5765.4020072013063,55652.230337720452,0,0,1625.7527521648942,57277.983089885354,82073.826974015625,82073.826974015625,0,0,295.82862489234117,4316.2099343476575,9
2025-02-11,q4_2_gru2026,5765.4020072013063,5921.9728630209447,54758.572454259891,0,0,3929.9533335605438,58688.525787820428,80675.731346100569,80675.731346100569,0,0,644.5077126286094,1624.9544448596102,9
2025-02-12,q4_2_gru2026,5921.9728630209447,6067.3383619151055,55645.940231063083,0,0,715.88337479113602,56361.82360585421,82339.751823833823,82339.751823833823,0,0,129.93583741658946,2721.0413823563158,6
2025-02-13,q4_2_gru2026,6067.3383619151055,6194.2909116735382,54815.241351276331,0,0,0,54815.241351276331,81809.771647211659,81809.771647211659,0,0,0,6294.0100418910279,0
2025-02-14,q4_2_gru2026,6194.2909116735382,5865.374980915085,14591.996272125945,0,0,2734.6519833491502,17326.648255475095,34954.557573259975,34954.557573259975,0,0,570.778084917662,2326.7993006624088,6
2025-02-15,q4_2_gru2026,5865.374980915085,5800.9229067954066,15161.120035239081,0,0,939.22253040323767,16100.342565642317,35574.066782145062,35574.066782145062,0,0,227.07084094197069,2817.8264732884591,8
2025-02-16,q4_2_gru2026,5800.9229067954066,6191.9338978679825,53659.669271578037,0,0,5853.687939252065,59513.357210830109,79636.332033142418,79636.332033142418,0,0,949.3598507518243,574.03671880417664,5
2025-02-17,q4_2_gru2026,6191.9338978679825,6099.1541243825623,52550.972476090668,0,0,366.47678006530566,52917.449256155982,78463.271141865116,78463.271141865116,0,0,58.836164965246553,3429.7551862118039,2
2025-02-18,q4_2_gru2026,6099.1541243825623,6287.5309767851941,51701.460606204724,0,0,39.49449670846532,51740.955102913191,78231.546655001366,78231.546655001366,0,0,7.7500974702639951,1766.5864026016702,1
2025-02-19,q4_2_gru2026,6287.5309767851941,5970.3197031413401,51970.19953731267,0,0,2370.7021257191991,54340.901663031866,78370.955254296685,78370.955254296685,0,0,445.44404825675133,1930.550381331057,8
2025-02-20,q4_2_gru2026,5970.3197031413401,6562.377517166301,52327.57566201927,0,0,221.15197004586233,52548.727632065136,78651.489034029684,78651.489034029684,0,0,39.417515381135786,2911.3731407132691,1
2025-02-21,q4_2_gru2026,6562.377517166301,6244.7448907371408,14631.267965384708,0,0,119.01770359113212,14750.285668975841,34400.04099819214,34400.04099819214,0,0,26.297594926053623,5749.986363187164,2
2025-02-22,q4_2_gru2026,6244.7448907371408,6474.7684058295008,14994.152283597559,0,0,0,14994.152283597559,35338.070906055975,35338.070906055975,0,0,0,3667.5928929255879,0
2025-02-23,q4_2_gru2026,6474.7684058295008,6659.7223664131025,51483.69019387455,0,0,0,51483.69019387455,77672.882555772128,77672.882555772128,0,0,0,1735.3592250349566,0
