date,strategy,soc_start_kwh,soc_end_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,original_plan_kwh,plan_kwh,increase_kwh,decrease_kwh,emergency_kwh,spill_kwh,emergency_intervals
2025-02-01,q3_no_refund_m2,9902.8112878703687,6322.5767936263146,20271.762314168624,0,0,0,20271.762314168624,38204.282127597791,38204.282127597791,0,0,0,4101.351482238746,0
2025-02-02,q3_no_refund_m2,6322.5767936263146,6570.2244893788784,55496.726980512532,271.32817972312534,0,0,55768.055160235657,88533.099235792033,88747.092723292037,213.99348750000024,0,0,5865.0359512354344,0
2025-02-03,q3_no_refund_m2,6570.2244893788784,6265.2006188553778,56988.167460228709,0,0,1293.7469394255475,58281.914399654255,90563.498640463484,90563.498640463484,0,0,185.45684338095577,6592.001648362585,1
2025-02-04,q3_no_refund_m2,6265.2006188553778,6645.3540717313781,59544.738692035535,0,0,0,59544.738692035535,93979.018513514457,93979.018513514457,0,0,0,8038.893535995574,0
2025-02-05,q3_no_refund_m2,6645.3540717313781,5880.2497625370897,51160.958660655961,245.17212861658015,0,12851.046708872302,64257.17749814484,82276.82057851617,82610.387437802419,333.56685928625029,0,2070.5802433090716,262.29305631915986,14
2025-02-06,q3_no_refund_m2,5880.2497625370897,5820.6556289625569,56433.545065893413,0,0,3453.9078799462868,59887.452945839694,89919.201708614084,89919.201708614084,0,0,544.66685017595387,5767.3368851525393,7
2025-02-07,q3_no_refund_m2,5820.6556289625569,5569.8309185588787,19936.732348251404,0,0,4405.5617117297479,24342.294059981155,39292.926189020764,39292.926189020764,0,0,861.76281705967199,4666.6250261645437,7
2025-02-08,q3_no_refund_m2,5569.8309185588787,5608.0233773790433,15958.314132665226,546.52260061116726,0,18459.42795825535,34964.264691531745,32382.853815756469,32820.577221826999,437.72340607053366,0,3327.8506591076075,988.88236666666683,14
2025-02-09,q3_no_refund_m2,5608.0233773790433,5668.4717913123968,50015.053670772948,1460.2071890167529,0,13267.471334466933,64742.732194256634,81292.460571827207,82608.972728596214,1316.5121567690128,0,2032.335469646368,437.95208381790576,10
2025-02-10,q3_no_refund_m2,5668.4717913123968,5520.1280006685938,48384.070234910323,115.31851314458322,0,9171.327670312774,57670.716418367687,78555.488256735611,78648.112473402274,92.624216666666598,0,1442.5354228038918,1590.8968762118768,11
2025-02-11,q3_no_refund_m2,5520.1280006685938,5782.7153278259293,48405.505400507689,0,0,14606.109787975754,63011.615188483447,78608.117309124849,78608.117309124849,0,0,2627.2487345727623,1231.5854146225229,19
2025-02-12,q3_no_refund_m2,5782.7153278259293,5867.9903377651071,50078.082375815386,0,0,5518.9018045591447,55596.984180374529,80958.147720917041,80958.147720917041,0,0,866.36450135799441,2064.3900913981633,9
2025-02-13,q3_no_refund_m2,5867.9903377651071,5978.3161324499479,46215.694820467586,500.9084226358334,0,6754.1208929832683,53470.724136086683,75912.853771013775,76322.279512680441,409.42574166666674,0,1034.3492241212493,1599.5150069517242,9
2025-02-14,q3_no_refund_m2,5978.3161324499479,5585.492130440869,16620.138878932841,808.58453065774029,0,8234.3570837169245,25663.080493307509,33018.48806566486,33652.885688340793,634.39762267593494,0,1579.6747769527569,2244.435297410836,13
2025-02-15,q3_no_refund_m2,5585.492130440869,5599.3714590516802,17091.911919823622,0,0,9566.9597634855454,26658.871683309168,33486.484811752329,33486.484811752329,0,0,2013.3728602051206,2785.2744857829962,13
2025-02-16,q3_no_refund_m2,5599.3714590516802,5928.8254419992372,50695.590380360227,0,0,6012.0641400277273,56707.654520387958,82277.534655846859,82277.534655846859,0,0,923.92746637786956,3114.0146127028775,7
2025-02-17,q3_no_refund_m2,5928.8254419992372,5785.5907753703905,50114.271709505789,0,0,8663.2737190305288,58777.545428536316,81849.847323916707,81849.847323916707,0,0,1299.6588946933707,8171.6952764160596,9
2025-02-18,q3_no_refund_m2,5785.5907753703905,5938.9038638037864,44475.638799112327,1045.0321022587591,0,16734.720411872528,62255.391313243606,72781.661691780886,74065.210087543703,1283.548395762828,0,2495.5007348571603,164.88688267634791,12
2025-02-19,q3_no_refund_m2,5938.9038638037864,5726.2277060896313,45333.904296868284,1968.0874564515061,0,9429.6112169544704,56731.602970274253,73833.944899816925,75814.798166866211,1980.8532670492909,0,1529.06303713844,199.51013235621213,17
