mode,block_days,saving_yuan,ci_low,ci_high,final_soc_difference_kwh
3,7,115235.69818551949,10701.661444995687,238932.50075145866,6.838404024214469
3,14,115235.69818551949,717.6673889946177,248104.67170468374,6.838404024214469
3,28,115235.69818551949,20188.661494584685,220380.0475946713,6.838404024214469
4,7,126504.16738968475,17256.532619627254,252425.72482994545,4.87665377419853
4,14,126504.16738968475,9774.309933612518,257750.33697971105,4.87665377419853
4,28,126504.16738968475,22649.489322899,237181.8277857792,4.87665377419853
