candidate,issue_hour,mae_kwh,rmse_kwh,n_pairs
baseline,6,30.25647550758687,39.53702695760853,36072
baseline,12,30.97655577249651,40.64424103221592,24048
baseline,18,31.57706883145107,41.49111019866127,12024
adaptive,6,27.95540808692354,36.23369293758107,36072
adaptive,12,28.854792945063142,37.720676802154415,24048
adaptive,18,27.67973637529584,35.962357313097826,12024
