mode,month,cost_gap,max_inventory_adjustment,unchanged
3,3,11232.06138826767,1415.781351475863,True
3,4,5003.1338037288515,97.47258712255356,True
3,5,836.5643886537291,5.505079367392552,True
3,6,16295.931296011084,645.9640515130344,True
3,7,13354.23958202242,1550.0324480454988,True
3,8,17450.61493837321,44.997677266618,True
3,9,1786.7056938437745,207.6671086807806,True
3,10,37442.965002021985,3753.7064541272407,True
3,11,1411.7993555283174,197.42095006476444,True
3,12,2403.30699497927,21.3271560353515,True
4,3,9849.853635758394,1468.3481826724462,True
4,4,3366.2229754372966,69.16106590858202,True
4,5,699.972491467488,5.505079367374427,True
4,6,17430.768038069597,1278.9945637566475,True
4,7,13350.049806330353,1296.76819033637,True
4,8,22205.72723854333,72.95156369238852,True
4,9,3017.3408834794536,189.99213050931058,True
4,10,35469.025024870876,4603.237826836995,True
4,11,1288.0464370015543,197.42095006475537,True
4,12,2622.3525486867875,22.16321331379471,True
